X,Y,u_x,u_y,,,,,,X1,Y1,sigma_xx,sigma_yy,sigma_xy,Status
0.160725047,0.424654366,2.10411E-06,-0.000317175,,,,,,0.224326673,0.400932299,-25.3493358,-47.6059394,0.104584206,Failure
0.164790535,1.301781241,3.87798E-06,-0.000828479,,,,,,0.227707923,1.984753267,-7.207955484,-18.93135746,-0.130037257,Failure
0.175392731,0.913484463,3.8265E-06,-0.000626627,,,,,,0.233999038,0.106837177,-28.58325466,-52.71506205,0.175586798,Failure
0.182084252,2.219640432,2.42135E-06,-0.001143721,,,,,,0.236274919,1.558119034,-12.2183752,-26.85200823,-0.10515923,Failure
0.185604078,1.395216256,4.32594E-06,-0.000871068,,,,,,0.236274919,1.447887291,-13.49596588,-28.8718069,-0.090041003,Failure
0.185604078,1.395216256,4.32594E-06,-0.000871068,,,,,,0.236925033,1.262720272,-15.62971424,-32.24496693,-0.059609425,Failure
0.185604078,1.60950197,4.06842E-06,-0.000959882,,,,,,0.239616641,2.581692336,-2.17061666,-7.71328677,-0.175608706,Elastic
0.185604078,1.502359113,4.22328E-06,-0.00091703,,,,,,0.239616641,2.527616038,-2.611094814,-8.727016051,-0.183482903,Elastic
0.185604078,1.60950197,4.06842E-06,-0.000959882,,,,,,0.247496982,0.982368489,-18.82657403,-37.29808464,-0.010043874,Failure
0.187909582,2.888058,6.32732E-07,-0.001226366,,,,,,0.250705714,2.322641049,-4.267714207,-12.57715125,-0.194515769,Elastic
0.20566258,2.664174001,1.22956E-06,-0.001212457,,,,,,0.251578248,1.416887382,-13.85261696,-29.43548623,-0.090690067,Failure
0.20566258,2.664174001,1.22956E-06,-0.001212457,,,,,,0.251620517,1.123464315,-17.22143108,-34.76099161,-0.037535556,Failure
0.20566258,2.557031144,1.55975E-06,-0.001200916,,,,,,0.256514425,2.775477255,-0.553802873,-4.102618934,-0.128614483,Elastic
0.20566258,2.557031144,1.55975E-06,-0.001200916,,,,,,0.257916721,1.356955003,-14.54282832,-30.52663447,-0.081808965,Failure
0.20566258,2.449888287,1.91921E-06,-0.001186186,,,,,,0.260409162,1.598238294,-11.75118925,-26.11292412,-0.12156237,Failure
0.20566258,2.449888287,1.91921E-06,-0.001186186,,,,,,0.263268217,0.693284098,-22.08239793,-42.4435046,0.053726547,Failure
0.206332097,1.743476274,4.23582E-06,-0.001009042,,,,,,0.263268217,0.803515841,-20.84453793,-40.48734903,0.028366106,Failure
0.206808471,0.6186227,3.60729E-06,-0.000447186,,,,,,0.263375717,0.519420068,-24.02462135,-45.5124448,0.094619623,Failure
0.206808471,0.6186227,3.60729E-06,-0.000447186,,,,,,0.268266639,2.494127561,-2.885560018,-9.356044913,-0.209111036,Elastic
0.206808471,0.832908415,4.32252E-06,-0.000579787,,,,,,0.269736697,2.608730485,-1.955464296,-7.207232074,-0.191890256,Elastic
0.206808471,0.725765558,4.00164E-06,-0.000514949,,,,,,0.275039673,1.164319207,-16.75107332,-34.0174529,-0.048664051,Failure
0.206808471,0.832908415,4.32252E-06,-0.000579787,,,,,,0.27660031,0.317828365,-26.25543983,-49.03670566,0.151015999,Failure
0.215965487,1.062519338,4.97437E-06,-0.000708753,,,,,,0.277715202,1.093368312,-17.5602059,-35.29645575,-0.034253397,Failure
0.215965487,1.169662196,5.07004E-06,-0.000764222,,,,,,0.278571546,0.840845282,-20.42071344,-39.81754234,0.022160477,Failure
0.215965487,1.169662196,5.07004E-06,-0.000764222,,,,,,0.27918161,0.901102786,-19.74030127,-38.74221956,0.008048436,Failure
0.215965487,1.062519338,4.97437E-06,-0.000708753,,,,,,0.289048663,2.055003595,-6.477051043,-17.5788295,-0.161830677,Elastic
0.227060116,2.091736293,3.51401E-06,-0.001113706,,,,,,0.289048663,1.944771852,-7.680341329,-19.6761607,-0.160142428,Failure
0.227060116,1.877450578,4.26777E-06,-0.001053269,,,,,,0.29606653,2.19364217,-5.313768308,-14.99190648,-0.206821119,Elastic
0.227060116,2.091736293,3.51401E-06,-0.001113706,,,,,,0.2970345,0.133008193,-28.27999498,-52.23405137,0.215680134,Failure
0.227060116,1.984593435,3.90612E-06,-0.001085081,,,,,,0.2970345,0.02277645,-29.4823869,-54.13293405,0.248949489,Failure
0.227060116,1.877450578,4.26777E-06,-0.001053269,,,,,,0.29743518,0.669674958,-22.33902495,-42.84889037,0.067572645,Failure
0.233333333,0,0,0,,,,,,0.298488791,1.255192768,-15.70691732,-32.36670899,-0.073109,Failure
0.233333333,0.214285714,1.67791E-06,-0.000165548,,,,,,0.299339765,1.690552696,-10.67178122,-24.40543407,-0.148801575,Failure
0.233333333,0.107142857,8.70067E-07,-8.42E-05,,,,,,0.303621927,2.099536292,-6.096376432,-16.74419579,-0.185403284,Elastic
0.233333333,0.214285714,1.67791E-06,-0.000165548,,,,,,0.307750431,2.888377373,0.410435545,-2.025648109,-0.086608181,Elastic
0.23677903,1.263097211,5.58797E-06,-0.0008101,,,,,,0.308776539,1.910857927,-8.080004383,-20.3071274,-0.171545676,Failure
0.238710778,3,6.00883E-07,-0.00122812,,,,,,0.311650461,1.016397278,-18.42765506,-36.66756449,-0.01878304,Failure
0.247381227,0.98194329,5.56399E-06,-0.000665025,,,,,,0.313296386,2.52035863,-2.679316764,-8.863196826,-0.240800022,Elastic
0.250638445,2.321984147,2.88756E-06,-0.001164381,,,,,,0.314766443,2.580885257,-2.19229644,-7.728346825,-0.230866345,Elastic
0.256463776,2.776116001,1.14942E-06,-0.001221076,,,,,,0.315476989,2.371694301,-3.867150202,-11.65512203,-0.248767971,Elastic
0.257592574,1.356532226,6.0475E-06,-0.000853651,,,,,,0.316359396,1.15882163,-16.80608036,-34.10430742,-0.054127429,Failure
0.264129283,0.519680002,4.06697E-06,-0.000381995,,,,,,0.318453277,2.976203347,1.208969197,-0.42914583,-0.020784378,Elastic
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.319034925,1.114908884,-17.30604943,-34.89465823,-0.043565245,Failure
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.320245196,1.825673694,-9.083594322,-21.89322913,-0.176349724,Failure
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.322708612,2.71499455,-1.095475137,-5.224604841,-0.191467568,Elastic
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.324369843,1.504122889,-12.83410358,-27.82412207,-0.131660544,Failure
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.325642143,1.377088106,-14.3009526,-30.14359682,-0.106225199,Failure
0.274216773,2.552232002,2.09291E-06,-0.001200266,,,,,,0.331201462,0.154951953,-28.02891629,-51.83631234,0.233802861,Failure
0.277391714,0.317511509,2.84757E-06,-0.000241272,,,,,,0.333295781,1.250561708,-15.7527854,-32.43906047,-0.07920192,Failure
0.278406117,1.449967241,6.43619E-06,-0.000894859,,,,,,0.342536576,1.467322591,-13.25750486,-28.49342519,-0.129927235,Failure
0.278406117,1.449967241,6.43619E-06,-0.000894859,,,,,,0.346457452,1.034542668,-18.21378734,-36.32951691,-0.024191976,Failure
0.278406117,1.557110098,6.24047E-06,-0.000939236,,,,,,0.352635441,0.91127775,-19.60699686,-38.53153028,0.009701579,Failure
0.278406117,1.557110098,6.24047E-06,-0.000939236,,,,,,0.353019841,1.551748859,-12.27869052,-26.94538964,-0.148811987,Failure
0.278796966,0.901367242,6.06441E-06,-0.000619604,,,,,,0.353409236,2.393790882,-3.690063861,-11.23969692,-0.279277451,Elastic
0.287953982,1.130978165,6.73993E-06,-0.000744471,,,,,,0.360449134,1.372457047,-14.34904207,-30.2193063,-0.114535516,Failure
0.287953982,1.130978165,6.73993E-06,-0.000744471,,,,,,0.360640859,2.691538231,-1.306812581,-5.66113276,-0.225024004,Elastic
0.287953982,1.130978165,6.73993E-06,-0.000744471,,,,,,0.361427571,0.787751532,-20.99635146,-40.72709191,0.048006832,Failure
0.287953982,1.130978165,6.73993E-06,-0.000744471,,,,,,0.367664995,0.615259034,-22.92635636,-43.77640258,0.103630486,Failure
0.287953982,1.130978165,6.73993E-06,-0.000744471,,,,,,0.374152511,2.204830536,-5.201906168,-14.78142863,-0.262222912,Elastic
0.29561431,2.194080007,4.06442E-06,-0.001138006,,,,,,0.377212246,1.682172715,-10.76394552,-24.5490965,-0.181441001,Failure
0.299134136,1.691084402,6.33354E-06,-0.000990311,,,,,,0.379594304,0.83206568,-20.49194781,-39.9300203,0.035997504,Failure
0.307264971,2.888058,9.98342E-07,-0.001226225,,,,,,0.383856299,1.461825014,-13.31623542,-28.58571138,-0.141749284,Failure
0.308767526,1.22441318,7.29906E-06,-0.000791299,,,,,,0.387442432,0.92942314,-19.39266813,-38.19279268,0.007491513,Failure
0.308767526,1.22441318,7.29906E-06,-0.000791299,,,,,,0.388983861,2.861034104,0.106988109,-2.526404757,-0.132604114,Elastic
0.310212706,0.713648336,5.96104E-06,-0.000507337,,,,,,0.394265533,0.209768466,-27.40540642,-50.84942317,0.258730537,Failure
0.310212706,0.713648336,5.96104E-06,-0.000507337,,,,,,0.396820237,2.026477949,-6.719714318,-18.1524078,-0.220949525,Failure
0.310212706,0.820791194,6.45618E-06,-0.000572501,,,,,,0.4001937,1.240997425,-15.84825074,-32.5897081,-0.088371807,Failure
0.310212706,0.820791194,6.45618E-06,-0.000572501,,,,,,0.401987511,0.759724888,-21.29739751,-41.20265642,0.064229898,Failure
0.319192638,2.424327862,3.10828E-06,-0.0011821,,,,,,0.404254024,1.856955618,-8.714233384,-21.30525868,-0.226014188,Failure
0.319192638,2.424327862,3.10828E-06,-0.0011821,,,,,,0.405399353,1.548203965,-12.31365623,-26.9995384,-0.168863701,Failure
0.319369722,1.050402117,7.3576E-06,-0.000702179,,,,,,0.406274543,1.171819221,-16.63635504,-33.83578226,-0.06900287,Failure
0.319369722,1.050402117,7.3576E-06,-0.000702179,,,,,,0.407783586,0.027038149,-29.39573514,-53.99022096,0.341707642,Failure
0.319862155,1.825058706,6.25687E-06,-0.001036467,,,,,,0.40852836,1.134827914,-17.05702628,-34.50086955,-0.057581752,Failure
0.321450094,0.420737304,4.19798E-06,-0.000314353,,,,,,0.410765648,1.067482819,-17.82207023,-35.71030716,-0.036407625,Failure
0.321450094,0.420737304,4.19798E-06,-0.000314353,,,,,,0.412084758,2.226927116,-5.009963319,-14.36675195,-0.295376834,Elastic
0.325017969,2.664174001,1.91824E-06,-0.001212335,,,,,,0.414120303,2.079343155,-6.223960058,-17.11743522,-0.235681546,Elastic
0.325017969,2.664174001,1.91824E-06,-0.001212335,,,,,,0.418069078,1.495080418,-12.92437544,-27.96536898,-0.160336358,Failure
0.329581069,1.317848195,7.78508E-06,-0.000835808,,,,,,0.42018778,2.527029567,-2.64420085,-8.736833647,-0.3209177,Elastic
0.329581069,1.317848195,7.78508E-06,-0.000835808,,,,,,0.420239394,1.986218394,-7.193987034,-18.90087366,-0.234617941,Failure
0.340590175,2.066175867,5.42568E-06,-0.001107059,,,,,,0.420914027,0.853606253,-20.23731135,-39.52757619,0.035411338,Failure
0.340590175,1.95903301,6.00894E-06,-0.00107767,,,,,,0.421185388,1.335232156,-14.76432606,-30.87551404,-0.119160444,Failure
0.340590175,2.066175867,5.42568E-06,-0.001107059,,,,,,0.421335804,1.67918656,-10.7905211,-24.58951569,-0.203524851,Failure
0.340590175,1.95903301,6.00894E-06,-0.00107767,,,,,,0.42142613,2.578016107,-2.243377906,-7.781465453,-0.30943993,Elastic
0.35,0,0,0,,,,,,0.425476419,0.515469479,-24.01705897,-45.49849836,0.159851804,Failure
0.35,0.107142857,1.31159E-06,-8.41E-05,,,,,,0.426916109,2.837577785,-0.126866467,-2.957133782,-0.165930338,Elastic
0.35,0.107142857,1.31159E-06,-8.41E-05,,,,,,0.428633979,2.426289172,-3.433394287,-10.62853426,-0.338545875,Elastic
0.350394613,1.41128321,8.18563E-06,-0.000877982,,,,,,0.43118927,0.438799118,-24.86557258,-46.8383073,0.191824561,Failure
0.350394613,1.41128321,8.18563E-06,-0.000877982,,,,,,0.4340086,0.395822099,-25.34019429,-47.58763608,0.210179493,Failure
0.350785462,0.969826069,7.88347E-06,-0.000658184,,,,,,0.43444269,2.665451026,-1.553283665,-6.147052547,-0.284306575,Elastic
0.350785462,0.969826069,7.88347E-06,-0.000658184,,,,,,0.434481511,2.971750758,1.050800281,-0.509542414,-0.033646344,Elastic
